ord,l_time,q_time,rPHIRKAh2,FOMh2,rlh2,PHIRKAh2,rqh2,lh2,rPHIRKAhinf,qh2,rlhinf,FOMhinf,rqhinf,PHIRKAhinf,lhinf,qhinf
1,0.0067455768585205,0.0878994464874267,1.0,0.3646215110529472,1.16051382870796,0.3646215110529472,1.004759400087434,0.4231483058213375,,0.3663568907045329,1.225185286663569,0.468251861316395,0.9509486872148567,,0.5736952909376772,0.445283492804739
2,0.2055351734161377,0.175624132156372,0.8152748904742366,0.3646215110529472,0.9033055384654738,0.2972667624882422,0.8883766326457718,0.3293646303777772,1.0014954796082858,0.3239212301794303,0.9949100007053018,0.468251861316395,0.8809860608605319,0.4689521224265355,0.4658684596725534,0.4125233627917429
3,0.7970783710479736,0.9944767951965332,0.783765800471094,0.3646215110529472,1.0137007068551975,0.285777870479393,0.9223708442452638,0.3696170834889828,0.81079929673651,0.3363162509798907,1.8818327666967607,0.468251861316395,0.888983122156799,0.3796582798508949,0.8811716956919395,0.4162680016287813
4,0.7147262096405029,0.6552886962890625,0.5437000162953592,0.3646215110529472,0.8204445700131874,0.1982447215011259,0.8491668403756676,0.2991517388533939,0.5579166332667087,0.3096244964738327,1.23337063269215,0.468251861316395,0.7970167362342152,0.2612455019865129,0.577528094451079,0.3732045702419895
5,5.671338319778442,3.480163812637329,0.5446939516618192,0.3646215110529472,0.7083896007630769,0.1986071317163335,0.8428573617264475,0.2582940866444271,0.5530833751543479,0.3073239248347978,0.8065311907028013,0.468251861316395,0.8003575482685338,0.2589823198791774,0.3776597312563151,0.3747689116953674
6,9.016269445419312,4.559728384017944,0.5027934056055228,0.3646215110529472,0.6048849710288223,0.1833292912993431,0.8042980108314104,0.2205540721497474,0.5345122161569241,0.2932643560462286,0.7875307529621945,0.468251861316395,0.7916055925704439,0.250286340111831,0.3687627409184497,0.3706707921495782
7,1085.1066546440125,7.12182879447937,0.46283995760007673,0.3646215110529472,0.609562220994085,0.168761404715822,0.7940165936363939,0.2222594980996538,0.5004764165424023,0.2895155301728159,0.8052215914829394,0.468251861316395,0.7855256797430311,0.2343490135909393,0.3770465089840362,0.3678238616515007
8,279.3432078361511,2.2950680255889893,0.34306886538402986,0.3646215110529472,0.5144476693524116,0.1250902880915451,0.7558032051779545,0.1875786865569433,0.3654178066247327,0.2755821067306465,0.7889550386649785,0.468251861316395,0.7875935885076555,0.1711075681101856,0.3694296653498246,0.3687921637795686
9,0.0176727771759033,2.6320672035217285,0.33765360928335625,0.3646215110529472,0.5377661471896011,0.1231157692293788,0.759776778880858,0.196081105181394,0.3628558944971901,0.2770309571784794,0.8384853634903491,0.468251861316395,0.8015803903825819,0.1699079479879347,0.39262233214091,0.3753415097913665
10,0.0082762241363525,2.386274576187134,0.24226051422038694,0.3646215110529472,0.521271131377956,0.0883333947635015,0.7552926319484224,0.1900666675913097,0.28808079959458693,0.2753959407481913,0.7860035976153431,0.468251861316395,0.7760714136421747,0.1348943706196807,0.3680476475847672,0.3633968839523942
11,0.0144376754760742,3.612030029296875,0.2235417588229316,0.3646215110529472,0.4720555373022893,0.0815081338854508,0.7325058056121226,0.1721216033120716,0.27131291511330385,0.2670873736973486,0.8277188890941543,0.468251861316395,0.7870148484638366,0.1270427775009816,0.3875809104650765,0.3685211676768321
12,0.016359806060791,2.43804931640625,0.17145287668799264,0.3646215110529472,0.4699857902235992,0.0625154069723505,0.7331466425337315,0.1713669290047422,0.21285814768780587,0.2673210366240441,0.7936137038126637,0.468251861316395,0.774355849208972,0.0996712238511752,0.371611093976478,0.3625935677133389
13,0.015841007232666,2.383967638015747,0.1552409248491086,0.3646215110529472,0.4155733372875835,0.056604180595739,0.7099969857559005,0.1515269781951148,0.19580442040450718,0.2588801737893543,0.7958157837680981,0.468251861316395,0.763558684093028,0.0916857843083884,0.3726422220143777,0.3575377750508576
14,0.0155963897705078,2.498854398727417,0.12474168236043752,0.3646215110529472,0.42580375158420364,0.0454835007135495,0.7108495910918816,0.1552572073146461,0.15739604307167435,0.2591910520352915,0.8186710104865795,0.468251861316395,0.7672318142090994,0.073700990132147,0.3833442244661148,0.3592577250645653
15,0.0166871547698974,2.584222316741944,0.11250232377493087,0.3646215110529472,0.4247872913193607,0.0410207672917832,0.7109941589560616,0.1548865840369538,0.14355333971213546,0.2592437645883785,0.7925584713481684,0.468251861316395,0.7663322804847778,0.0672191185183922,0.3711169794108566,0.3588365167238349
16,0.0089516639709472,2.5776398181915283,0.09556847432634964,0.3646215110529472,0.40883651379455294,0.0348463215178984,0.7093728951057731,0.149070587433389,0.12202352490591568,0.2586526169134708,0.7963439607136691,0.468251861316395,0.7642448976988895,0.0571377426615825,0.3728895418522457,0.3578590958490629
17,0.0093019008636474,2.578579902648926,0.08103000202507056,0.3646215110529472,0.41372356838364094,0.0295452817790046,0.7126964209827242,0.1508525126622605,0.10324346848517209,0.2598644459407483,0.7994677958401899,0.468251861316395,0.7721000288821072,0.0483439462869424,0.3743522834646846,0.361537275646489
18,0.0093615055084228,2.9106125831604004,0.06787483466728494,0.3646215110529472,0.4165713875883104,0.0247486247788544,0.7121611721225445,0.1518908888038727,0.08671293576146055,0.2596692826925602,0.8040004260815913,0.468251861316395,0.7635281316572177,0.0406034935705129,0.3764746960118798,0.3575234688159217
19,0.0280232429504394,4.87343692779541,0.05653349677352089,0.3646215110529472,0.4185178765105974,0.0206133290186681,0.7078060780882411,0.1526006205359648,0.0714800574472706,0.2580813217249948,0.8017662080183691,0.468251861316395,0.7620596047486431,0.0334706699466873,0.3754285192451893,0.3568358283575884
20,0.0422770977020263,4.581047773361206,0.046022721892968424,0.3646215110529472,0.43087909819542836,0.0167808743993837,0.7109371885579701,0.1571077878651483,0.05830723443209504,0.2592229919557411,0.8184860530324699,0.468251861316395,0.7668987258213297,0.0273024710510399,0.3832576177939636,0.3591017558070093
