ord,l_time,q_time,FOMh2,PHIRKAh2,rPHIRKAh2,lh2,rlh2,qh2,rqh2,FOMhinf,PHIRKAhinf,rPHIRKAhinf,lhinf,rlhinf,qhinf,rqhinf
2,0.048046588897705,0.0247023105621337,243.2613316717931,243.2604740837566,0.999996474622454,243.24030003916485,0.999913543050662,243.24835086928877,0.9999466384467472,242.4376971641329,242.43769713294185,0.9999999998713438,242.4376971641312,0.9999999999999928,242.437723633212,1.0000001091788917
3,0.0536353588104248,37.546347856521606,243.2613316717931,243.26115692007545,0.9999992816296924,243.22191826055143,0.9998379791355628,243.24273015495655,0.9999235327838228,242.4376971641329,242.43769706336485,0.9999999995843548,242.43769716413144,0.9999999999999938,242.43773318039905,1.0000001485588526
4,22.84799671173096,122.61176323890686,243.2613316717931,243.26036377160764,0.9999960211506744,243.0543651033764,0.9991492007094002,243.1801130537453,0.9996661260649624,242.4376971641329,242.4376942820793,0.9999999881121884,242.4376971641306,0.9999999999999905,242.43816899006535,1.000001946173957
5,37.27343249320984,200.4445314407349,243.2613316717931,243.2603448793089,0.9999959434881104,242.86492019032823,0.9983704295346056,243.07328739272876,0.9992269865589732,242.4376971641329,242.4376942745461,0.999999988081116,242.43769716413075,0.9999999999999908,242.44072061312824,1.0000124710349532
6,42.140920877456665,140.31304121017456,243.2613316717931,243.2602602923108,0.9999955957674204,242.76031084815705,0.9979404008841322,242.96859655849588,0.9987966229104912,242.4376971641329,242.43769376289603,0.9999999859706764,242.43769716413095,0.999999999999992,242.44633140958408,1.0000356142858644
7,59.94669198989868,70.35922074317932,243.2613316717931,243.26027535375988,0.9999956576821069,242.50191076537183,0.9968781684240476,242.8016721234661,0.9981104290387296,242.4376971641329,242.43769390235084,0.9999999865458956,242.43769716413016,0.9999999999999886,242.45651796020297,1.0000776314751798
8,0.0607473850250244,74.17408585548401,243.2613316717931,243.2600917802904,0.999994903047294,241.4720742795209,0.9926447110193156,242.51784163312777,0.9969436571215172,242.4376971641329,242.43769329582543,0.9999999840441172,242.4376971641313,0.9999999999999932,242.46419069397987,1.0001092797455051
9,0.0624980926513671,134.1401572227478,243.2613316717931,243.26008443391305,0.9999948728477662,240.8144577446644,0.9899413774054726,242.37472565214927,0.9963553351716417,242.4376971641329,242.4376932838329,0.9999999839946508,242.43769716413144,0.9999999999999938,242.46766979882,1.0001236302565055
10,0.0541667938232421,20.639195442199707,243.2613316717931,243.2599751836689,0.9999944237412708,240.4696199815203,0.9885238164607296,242.3034383376182,0.9960622868928988,242.4376971641329,242.43769276801,0.9999999818669992,242.4376971641308,0.9999999999999912,242.46967794067783,1.0001319133819493
11,0.0401146411895751,87.99093651771545,243.2613316717931,243.25995870916367,0.9999943560177856,240.28369641349155,0.987759520850116,242.2763634365153,0.9959509872427784,242.4376971641329,242.43769266709305,0.99999998145074,242.43769716413112,0.9999999999999925,242.4717240315916,1.0001403530385609
12,0.0668187141418457,60.880292892456055,243.2613316717931,243.25991447712843,0.9999941741884956,240.16455931931327,0.9872697714379942,242.25755016838656,0.995873649558242,242.4376971641329,242.437692366094,0.9999999802091876,242.4376971641313,0.9999999999999932,242.4732387508612,1.000146600908786
13,0.0654325485229492,98.58976745605467,243.2613316717931,243.25990443904,0.999994132923867,240.09135356402592,0.9869688368225984,242.24587362779383,0.9958256495719208,242.4376971641329,242.4376922894456,0.9999999798930308,242.43769716413124,0.999999999999993,242.4742497328868,1.0001507709781996
14,0.0788602828979492,112.82444047927856,243.2613316717931,243.2598843885792,0.9999940505003244,240.03698342251957,0.9867453317503668,242.237915029123,0.9957929333213924,242.4376971641329,242.437692139568,0.99999997927482,242.43769716413067,0.9999999999999908,242.4751490877641,1.0001544806111806
15,0.079477310180664,85.13102769851685,243.2613316717931,243.25987891617672,0.9999940280043425,240.000075047136,0.9865936086009052,242.23314634031,0.9957733301695876,242.4376971641329,242.43769209434504,0.9999999790882856,242.4376971641313,0.9999999999999932,242.47581588918703,1.000157231014401
16,0.0553877353668212,87.18066072463989,243.2613316717931,243.2598708066416,0.9999939946676216,239.970632187592,0.9864725747343976,242.2287248664928,0.9957551543510684,242.4376971641329,242.4376920306196,0.9999999788254328,242.43769716413172,0.9999999999999952,242.4763691884092,1.0001595132470265
17,0.0711159706115722,77.75247192382812,243.2613316717931,243.2598651800984,0.9999939715379974,239.9499418928947,0.9863875209588752,242.22628938523195,0.995745142561508,242.4376971641329,242.43769198489363,0.9999999786368235,242.4376971641313,0.9999999999999932,242.4767737822651,1.000161182104059
18,0.0812001228332519,93.89420104026794,243.2613316717931,243.25986090844032,0.999993953978042,239.9348509959448,0.986325485217945,242.2240348000264,0.995735874400432,242.4376971641329,242.4376919498162,0.9999999784921372,242.43769716413095,0.999999999999992,242.47709056237315,1.0001624887494849
19,0.0603678226470947,103.4037470817566,243.2613316717931,243.2598574351557,0.999993939700045,239.92510875985607,0.9862854367810572,242.22319932570724,0.9957324399280748,242.4376971641329,242.4376919222072,0.9999999783782564,242.43769716413112,0.9999999999999925,242.4773289767412,1.0001634721541732
20,0.0852229595184326,106.33171439170836,243.2613316717931,243.2598549359682,0.9999939294263714,239.9167447634984,0.9862510540195216,242.22111835827627,0.995723885475887,242.4376971641329,242.43769190163232,0.9999999782933896,242.4376971641313,0.9999999999999932,242.4774490384334,1.0001639673811682
